model,prauc_mean,prauc_lo95,prauc_hi95
Logit,0.6418088646917797,0.6347787077127743,0.6485370484914315
Xgb,0.7206845170766489,0.7143118759849966,0.7272252890589729
Lgb,0.7252977909183076,0.7190187802501647,0.7317723900815691
Ensemble,0.7208828823231637,0.7141348042220016,0.7276273554962162
