annualized_excess_return,sharpe,max_drawdown,hit_rate,observations,avg_gap_days,avg_turnover,freq,K,use_threshold,threshold
1.975714163517242e+20,1.2156166905353254,-0.3879664859320153,0.6044444444444445,450,7.4832962138084635,0.6414253897550112,W-FRI,3,False,0.0
2.571420865712934e+21,1.4397856490621337,-0.31659950760393507,0.6244444444444445,450,7.4832962138084635,0.5443207126948775,W-FRI,5,False,0.0
2.2318905435541717e+22,1.6035022054447965,-0.33467600718601775,0.6466666666666666,450,7.4832962138084635,0.4220489977728285,W-FRI,8,False,0.0
2.14265186901514,0.27673241238735985,-0.13113485447948925,0.5566037735849056,106,31.6,1.0698412698412698,BME,3,False,0.0
5.667444534993734,0.5323661991776188,-0.09525556075944275,0.5943396226415094,106,31.6,0.9320634920634921,BME,5,False,0.0
4.71967939562258,0.502589641693778,-0.1251356078186595,0.6415094339622641,106,31.6,0.7224867724867725,BME,8,False,0.0
1.7750305030336865e+21,1.2930745999539341,-0.34460728181331124,0.6057906458797327,449,7.5,0.6467261904761905,W-FRI,3,True,0.25
6.456683972811517e+20,1.2580501647458056,-0.33572206029311036,0.6071428571428571,448,7.516778523489933,0.6454884414615958,W-FRI,3,True,0.3
1.6598634840612678e+21,1.2882342097411892,-0.3188678520632373,0.6098654708520179,446,7.550561797752809,0.6558801498127341,W-FRI,3,True,0.35
1.6379012921188732e+22,1.521474374384186,-0.3109994012447329,0.6258351893095768,449,7.5,0.5474737811791384,W-FRI,5,True,0.25
3.675853631053732e+21,1.4521364303123163,-0.3102840968820344,0.6272321428571429,448,7.516778523489933,0.5464969283761231,W-FRI,5,True,0.3
1.467859355000313e+21,1.4107178689091067,-0.30518670329867603,0.6278026905829597,446,7.550561797752809,0.5563616907437132,W-FRI,5,True,0.35
5.07315227424325e+22,1.6448309407586748,-0.33467600718601775,0.6481069042316259,449,7.5,0.4304303459437388,W-FRI,8,True,0.25
3.7802084684444383e+21,1.5219807066217415,-0.33403139460207754,0.6473214285714286,448,7.516778523489933,0.43561470843350036,W-FRI,8,True,0.3
3.8453914645492264e+21,1.5037959829641931,-0.3316212676673702,0.6524663677130045,446,7.550561797752809,0.449198105265521,W-FRI,8,True,0.35
3.0915870305784914,0.34717708360976374,-0.10037799098371902,0.5619047619047619,105,31.903846153846153,1.0737179487179487,BME,3,True,0.25
2.61834453532207,0.31390655020348357,-0.11426911321667388,0.5619047619047619,105,31.903846153846153,1.0673076923076923,BME,3,True,0.3
2.246319033053392,0.28265436695744756,-0.12635209717167162,0.5619047619047619,105,31.903846153846153,1.0737179487179487,BME,3,True,0.35
6.778547336724938,0.590261281310405,-0.09525556075944275,0.6,105,31.903846153846153,0.942948717948718,BME,5,True,0.25
5.013779956261399,0.49045072647974314,-0.09798665422373609,0.6,105,31.903846153846153,0.9358974358974359,BME,5,True,0.3
3.614190649881822,0.3963092315943664,-0.11851542971284523,0.6,105,31.903846153846153,0.9560897435897437,BME,5,True,0.35
6.135180512414146,0.5871944824319949,-0.1017151618687665,0.6476190476190476,105,31.903846153846153,0.7333673271173271,BME,8,True,0.25
4.595585492779756,0.4876156676081034,-0.12095468429261746,0.6476190476190476,105,31.903846153846153,0.7473127833704757,BME,8,True,0.3
3.7624921298381215,0.41626576811841376,-0.132231674262145,0.6571428571428571,105,31.903846153846153,0.7835342008418931,BME,8,True,0.35
