decision_date,n_pos,ret_excess,ret_excess_net,turnover,hits,equity
2015-10-09,8,0.011603960596305349,0.011103960596305348,,7,1.0111039605963053
2015-10-16,8,0.002335340878458006,0.0018353408784580055,0.75,4,1.0129596810275583
2015-10-23,8,0.007394954254542396,0.006894954254542396,1.0,7,1.0199439916899393
2015-10-30,5,-0.01138266051743222,-0.012182660517432218,0.7692307692307693,1,1.007518360292386
2015-11-06,8,-0.009523513582680804,-0.010023513582680804,1.0769230769230769,1,0.997419486323195
2015-11-13,8,0.020947885003157724,0.020447885003157723,0.5,7,1.0178146052794403
2015-11-20,8,0.0035449853654074687,0.0030449853654074682,0.25,6,1.0209138358572143
2015-11-27,8,0.00924942128221623,0.00874942128221623,0.5,6,1.0298462410999722
2015-12-04,8,0.002450750451121156,0.0019507504511211554,0.5,4,1.0318552141193835
2015-12-11,8,0.0020968003090995474,0.001596800309099547,0.5,5,1.0335028808442355
2015-12-18,8,0.015354499541355135,0.014854499541355135,0.75,7,1.0488550489137254
2016-01-01,8,-0.009802042042076131,-0.010302042042076132,0.25,1,1.0380497001037725
2016-01-08,8,0.012948981163621226,0.012448981163621226,0.25,8,1.050972361267267
2016-01-15,8,0.0077886584309311,0.0072886584309311,0.5,6,1.0586325398288932
2016-01-22,8,0.004705798048534965,0.004205798048534964,0.75,7,1.0630849344990212
2016-01-29,8,0.011957424550615547,0.011457424550615547,0.25,7,1.07526514992694
2016-02-05,8,0.010916083428256451,0.01041608342825645,0.25,6,1.0864652014360756
2016-02-12,8,0.01979919607361591,0.01929919607361591,0.5,7,1.1074331063857512
2016-02-19,8,0.005831074241610001,0.005331074241610001,0.5,4,1.1133369144935104
2016-02-26,8,0.011792632038385292,0.011292632038385292,0.25,5,1.1259094186036367
2016-03-04,8,0.01373704197611722,0.01323704197611722,0.75,7,1.1408131288389987
2016-03-11,8,0.011632216281951269,0.011132216281951268,0.5,7,1.153512907326524
2016-03-18,8,0.00771399945399126,0.00721399945399126,0.0,6,1.1618343488101495
2016-04-01,8,0.0030748048890529567,0.0025748048890529562,0.25,5,1.1648258455717355
2016-04-08,8,0.0038496623653646866,0.003349662365364686,0.25,4,1.1687276188688511
2016-04-22,8,0.0023803842363215866,0.0018803842363215861,0.25,4,1.1709252758599258
2016-04-29,8,0.0014435449071972528,0.0009435449071972524,0.5,4,1.172030096440672
2016-05-06,8,0.007563904441766078,0.007063904441766078,0.5,5,1.1803092050448027
2016-05-13,8,0.002171097700488317,0.0016710977004883165,0.25,5,1.1822816170432184
2016-05-20,8,0.005366892981514687,0.004866892981514687,0.25,4,1.18803565514738
2016-05-27,8,0.010365940622840047,0.009865940622840047,0.5,6,1.199756744378881
2016-06-03,8,0.009547111035852929,0.009047111035852928,0.25,6,1.2106110768612903
2016-06-10,8,0.00748005058981821,0.00698005058981821,0.25,6,1.2190612034223762
2016-06-17,8,0.004688003156258197,0.0041880031562581965,0.25,5,1.2241666355899812
2016-06-24,8,0.008722691096879093,0.008222691096879092,0.25,6,1.2342325796855433
