model,n_samples,accuracy,precision,recall,f1_score,roc_auc,pr_auc,threshold_used,TN,FP,FN,TP
xgb,41465,0.6219462197033643,0.6104557867177163,0.9218211962759852,0.7345030824469887,0.6863668007262443,0.7206221516454938,0.2416030913591385,4105,13837,1839,21684
ens_tab,41465,0.6193898468587966,0.6072130965901221,0.9318964417803851,0.7353079296927412,0.6930009227871301,0.7208478431859644,0.2847800858628569,3762,14180,1602,21921
lgb,41465,0.6116483781502472,0.6006838905775076,0.9409514092590231,0.733265972072684,0.6887485772823714,0.7252507318163,0.1347595930166472,3228,14714,1389,22134
logit,41465,0.5883516218497528,0.5818121894331204,0.975598350550525,0.7289214985627392,0.6130223451000196,0.6417369434563166,0.2904010582623572,1447,16495,574,22949
