date,fund_id,y_true,xgb,fold
2018-07-05,Groww_LargeCap,0,0.018462157,2
2018-07-06,Groww_LargeCap,0,0.01707051,2
2018-07-09,Groww_LargeCap,0,0.016261954,2
2018-07-10,Groww_LargeCap,0,0.033503726,2
2018-07-11,Groww_LargeCap,0,0.038942978,2
2018-07-12,Groww_LargeCap,0,0.045545463,2
2018-07-13,Groww_LargeCap,0,0.055736613,2
2018-07-16,Groww_LargeCap,0,0.046051756,2
2018-07-17,Groww_LargeCap,0,0.053090736,2
2018-07-18,Groww_LargeCap,0,0.043564025,2
2018-07-19,Groww_LargeCap,0,0.061597537,2
2018-07-20,Groww_LargeCap,0,0.06262999,2
2018-07-23,Groww_LargeCap,0,0.10383124,2
2018-07-24,Groww_LargeCap,1,0.15891966,2
2018-07-25,Groww_LargeCap,1,0.061123367,2
2018-07-26,Groww_LargeCap,1,0.0631006,2
2018-07-27,Groww_LargeCap,1,0.1611882,2
2018-07-30,Groww_LargeCap,1,0.2052481,2
2018-07-31,Groww_LargeCap,1,0.12399604,2
2018-08-01,Groww_LargeCap,1,0.11112543,2
2018-08-02,Groww_LargeCap,1,0.08882703,2
2018-08-03,Groww_LargeCap,1,0.23919015,2
2018-08-06,Groww_LargeCap,1,0.16400638,2
2018-08-07,Groww_LargeCap,1,0.15966521,2
2018-08-08,Groww_LargeCap,1,0.25961375,2
2018-08-09,Groww_LargeCap,1,0.24184206,2
2018-08-10,Groww_LargeCap,1,0.18760574,2
2018-08-13,Groww_LargeCap,1,0.18641135,2
2018-08-14,Groww_LargeCap,1,0.29245606,2
2018-08-16,Groww_LargeCap,1,0.25557825,2
2018-08-17,Groww_LargeCap,1,0.17202507,2
2018-08-20,Groww_LargeCap,1,0.10126507,2
2018-08-21,Groww_LargeCap,1,0.1378746,2
2018-08-23,Groww_LargeCap,1,0.08958342,2
2018-08-24,Groww_LargeCap,1,0.114548795,2
2018-08-27,Groww_LargeCap,1,0.11929214,2
2018-08-28,Groww_LargeCap,1,0.10829774,2
2018-08-29,Groww_LargeCap,1,0.10061044,2
2018-08-30,Groww_LargeCap,1,0.16261287,2
2018-08-31,Groww_LargeCap,1,0.13259055,2
2018-09-03,Groww_LargeCap,1,0.1473702,2
2018-09-04,Groww_LargeCap,1,0.11858347,2
2018-09-05,Groww_LargeCap,1,0.122440584,2
2018-09-06,Groww_LargeCap,1,0.10569366,2
2018-09-07,Groww_LargeCap,1,0.11276582,2
2018-09-10,Groww_LargeCap,1,0.15814671,2
2018-09-11,Groww_LargeCap,1,0.10151483,2
2018-09-12,Groww_LargeCap,1,0.12463356,2
2018-09-14,Groww_LargeCap,1,0.16750021,2
2018-09-17,Groww_LargeCap,1,0.16239794,2
2018-09-18,Groww_LargeCap,1,0.09605275,2
2018-09-19,Groww_LargeCap,1,0.11847379,2
2018-09-21,Groww_LargeCap,1,0.12211988,2
2018-09-24,Groww_LargeCap,1,0.13419652,2
2018-09-25,Groww_LargeCap,1,0.15402748,2
2018-09-26,Groww_LargeCap,1,0.2730743,2
2018-09-27,Groww_LargeCap,1,0.33452746,2
2018-09-28,Groww_LargeCap,1,0.32676658,2
2018-10-01,Groww_LargeCap,1,0.3254671,2
2018-10-03,Groww_LargeCap,1,0.76097524,2
2018-10-04,Groww_LargeCap,1,0.69758964,2
2018-10-05,Groww_LargeCap,1,0.55071735,2
2018-10-08,Groww_LargeCap,1,0.5980765,2
2018-10-09,Groww_LargeCap,1,0.6425327,2
2018-10-10,Groww_LargeCap,1,0.73245615,2
2018-10-11,Groww_LargeCap,0,0.61504334,2
2018-10-12,Groww_LargeCap,1,0.73364955,2
2018-10-15,Groww_LargeCap,1,0.7514734,2
2018-10-16,Groww_LargeCap,1,0.7130373,2
2018-10-17,Groww_LargeCap,1,0.7255098,2
2018-10-19,Groww_LargeCap,1,0.81585675,2
2018-10-22,Groww_LargeCap,1,0.80507195,2
2018-10-23,Groww_LargeCap,1,0.6682319,2
2018-10-24,Groww_LargeCap,1,0.6701,2
2018-10-25,Groww_LargeCap,1,0.5466455,2
2018-10-26,Groww_LargeCap,1,0.7309898,2
2018-10-29,Groww_LargeCap,1,0.6459829,2
2018-10-30,Groww_LargeCap,1,0.7598192,2
2018-10-31,Groww_LargeCap,1,0.80087507,2
2018-11-01,Groww_LargeCap,1,0.6361387,2
2018-11-02,Groww_LargeCap,1,0.5937223,2
2018-11-05,Groww_LargeCap,1,0.47801986,2
2018-11-06,Groww_LargeCap,1,0.72682697,2
2018-11-09,Groww_LargeCap,1,0.73242164,2
2018-11-12,Groww_LargeCap,1,0.7332868,2
2018-11-13,Groww_LargeCap,1,0.48413643,2
2018-11-14,Groww_LargeCap,0,0.46061185,2
2018-11-15,Groww_LargeCap,0,0.4079149,2
2018-11-16,Groww_LargeCap,0,0.40511134,2
2018-11-19,Groww_LargeCap,1,0.23212132,2
2018-11-20,Groww_LargeCap,0,0.28492853,2
2018-11-21,Groww_LargeCap,0,0.35385856,2
2018-11-22,Groww_LargeCap,0,0.39851308,2
2018-11-26,Groww_LargeCap,0,0.37635973,2
2018-11-27,Groww_LargeCap,0,0.46607563,2
2018-11-28,Groww_LargeCap,0,0.3064549,2
2018-11-29,Groww_LargeCap,0,0.61495495,2
2018-11-30,Groww_LargeCap,0,0.4214656,2
2018-12-03,Groww_LargeCap,0,0.46266302,2
2018-12-04,Groww_LargeCap,0,0.59289557,2
2018-12-05,Groww_LargeCap,0,0.28772825,2
2018-12-06,Groww_LargeCap,0,0.25847286,2
2018-12-07,Groww_LargeCap,0,0.21125121,2
2018-12-10,Groww_LargeCap,0,0.09507244,2
2018-12-11,Groww_LargeCap,0,0.08067112,2
2018-12-12,Groww_LargeCap,0,0.24524522,2
2018-12-13,Groww_LargeCap,0,0.23018399,2
2018-12-14,Groww_LargeCap,0,0.16522212,2
2018-12-17,Groww_LargeCap,0,0.2269673,2
2018-12-18,Groww_LargeCap,0,0.24610855,2
2018-12-19,Groww_LargeCap,0,0.23268855,2
2018-12-20,Groww_LargeCap,0,0.20486543,2
2018-12-21,Groww_LargeCap,0,0.2149245,2
2018-12-24,Groww_LargeCap,0,0.13802095,2
2018-12-26,Groww_LargeCap,0,0.14748712,2
2018-12-27,Groww_LargeCap,0,0.23907816,2
2018-12-28,Groww_LargeCap,1,0.34978306,2
2018-12-31,Groww_LargeCap,1,0.31416202,2
2019-01-01,Groww_LargeCap,0,0.33528554,2
2019-01-02,Groww_LargeCap,0,0.24204034,2
2019-01-03,Groww_LargeCap,0,0.26667643,2
2019-01-04,Groww_LargeCap,0,0.34195313,2
2019-01-07,Groww_LargeCap,0,0.27686113,2
2019-01-08,Groww_LargeCap,1,0.37378225,2
2019-01-09,Groww_LargeCap,0,0.3668855,2
2019-01-10,Groww_LargeCap,0,0.35668895,2
2019-01-11,Groww_LargeCap,1,0.30314535,2
2019-01-14,Groww_LargeCap,1,0.35782918,2
2019-01-15,Groww_LargeCap,1,0.46898925,2
2019-01-16,Groww_LargeCap,1,0.42926174,2
2019-01-17,Groww_LargeCap,0,0.29609406,2
2019-01-18,Groww_LargeCap,1,0.2547606,2
2019-01-21,Groww_LargeCap,1,0.36002386,2
2019-01-22,Groww_LargeCap,0,0.3066731,2
2019-01-23,Groww_LargeCap,1,0.31524834,2
2019-01-24,Groww_LargeCap,1,0.32102072,2
2019-01-25,Groww_LargeCap,1,0.20537674,2
2019-01-28,Groww_LargeCap,1,0.21939522,2
2019-01-29,Groww_LargeCap,0,0.2542438,2
2019-01-30,Groww_LargeCap,0,0.19486552,2
2019-01-31,Groww_LargeCap,0,0.20655471,2
2019-02-01,Groww_LargeCap,0,0.3569063,2
2019-02-04,Groww_LargeCap,0,0.5038774,2
2019-02-05,Groww_LargeCap,0,0.51461244,2
2019-02-06,Groww_LargeCap,1,0.39842063,2
2019-02-07,Groww_LargeCap,1,0.36202383,2
2019-02-08,Groww_LargeCap,1,0.41368026,2
2019-02-11,Groww_LargeCap,1,0.3681315,2
2019-02-12,Groww_LargeCap,1,0.47396007,2
2019-02-13,Groww_LargeCap,1,0.46621147,2
2019-02-14,Groww_LargeCap,1,0.55410385,2
2019-02-15,Groww_LargeCap,1,0.7084046,2
2019-02-18,Groww_LargeCap,1,0.73159117,2
2019-02-19,Groww_LargeCap,1,0.5620181,2
2019-02-20,Groww_LargeCap,1,0.74531096,2
2019-02-21,Groww_LargeCap,1,0.710066,2
2019-02-22,Groww_LargeCap,1,0.7121228,2
2019-02-25,Groww_LargeCap,1,0.6876899,2
2019-02-26,Groww_LargeCap,1,0.7183259,2
2019-02-27,Groww_LargeCap,1,0.67132795,2
2019-02-28,Groww_LargeCap,0,0.6727812,2
2019-03-01,Groww_LargeCap,1,0.6550414,2
2019-03-05,Groww_LargeCap,1,0.66900074,2
2019-03-06,Groww_LargeCap,1,0.59782165,2
2019-03-07,Groww_LargeCap,1,0.635982,2
2019-03-08,Groww_LargeCap,1,0.7095449,2
2019-03-11,Groww_LargeCap,1,0.7138701,2
2019-03-12,Groww_LargeCap,0,0.5133743,2
2019-03-13,Groww_LargeCap,1,0.7566274,2
2019-03-14,Groww_LargeCap,1,0.7785108,2
2019-03-15,Groww_LargeCap,1,0.79960173,2
2019-03-18,Groww_LargeCap,1,0.7613339,2
2019-03-19,Groww_LargeCap,1,0.6882228,2
2019-03-20,Groww_LargeCap,1,0.7813195,2
2019-03-22,Groww_LargeCap,1,0.819306,2
2019-03-25,Groww_LargeCap,1,0.8116587,2
2019-03-26,Groww_LargeCap,1,0.75295585,2
2019-03-27,Groww_LargeCap,1,0.7633988,2
2019-03-28,Groww_LargeCap,1,0.75137335,2
2019-03-29,Groww_LargeCap,1,0.68155503,2
2019-04-01,Groww_LargeCap,1,0.713013,2
2019-04-02,Groww_LargeCap,1,0.7302754,2
2019-04-03,Groww_LargeCap,1,0.6885899,2
2019-04-04,Groww_LargeCap,1,0.6656504,2
2019-04-05,Groww_LargeCap,1,0.6847889,2
2019-04-08,Groww_LargeCap,1,0.7807086,2
2019-04-09,Groww_LargeCap,1,0.81456786,2
2019-04-10,Groww_LargeCap,1,0.7708101,2
2019-04-11,Groww_LargeCap,1,0.69976676,2
2019-04-12,Groww_LargeCap,1,0.6704475,2
2019-04-15,Groww_LargeCap,1,0.54943717,2
2019-04-16,Groww_LargeCap,0,0.53972757,2
2019-04-18,Groww_LargeCap,1,0.5470065,2
2019-04-22,Groww_LargeCap,1,0.54365635,2
2019-04-23,Groww_LargeCap,1,0.55610055,2
2019-04-24,Groww_LargeCap,1,0.57107526,2
2019-04-25,Groww_LargeCap,1,0.6480468,2
2019-04-26,Groww_LargeCap,1,0.69894505,2
2019-04-30,Groww_LargeCap,0,0.5856649,2
2019-05-02,Groww_LargeCap,1,0.5549482,2
2019-05-03,Groww_LargeCap,0,0.54245275,2
2019-05-06,Groww_LargeCap,1,0.5752449,2
2019-05-07,Groww_LargeCap,0,0.64411885,2
2019-05-08,Groww_LargeCap,1,0.59556156,2
2019-05-09,Groww_LargeCap,1,0.47876784,2
2019-05-10,Groww_LargeCap,1,0.5704568,2
2019-05-13,Groww_LargeCap,1,0.6095614,2
2019-05-14,Groww_LargeCap,1,0.715842,2
2019-05-15,Groww_LargeCap,1,0.5563221,2
2019-05-16,Groww_LargeCap,1,0.434019,2
2019-05-17,Groww_LargeCap,1,0.5312599,2
2019-05-20,Groww_LargeCap,1,0.59064454,2
2019-05-21,Groww_LargeCap,0,0.5039057,2
2019-05-22,Groww_LargeCap,0,0.40672985,2
2019-05-23,Groww_LargeCap,0,0.46591792,2
2019-05-24,Groww_LargeCap,1,0.5923177,2
2019-05-27,Groww_LargeCap,1,0.59435076,2
2019-05-28,Groww_LargeCap,1,0.60443664,2
2019-05-29,Groww_LargeCap,0,0.4777536,2
2019-05-30,Groww_LargeCap,0,0.56472325,2
2019-05-31,Groww_LargeCap,0,0.45305422,2
2019-06-03,Groww_LargeCap,0,0.55175126,2
2019-06-04,Groww_LargeCap,0,0.56890017,2
2019-06-06,Groww_LargeCap,1,0.6314248,2
2019-06-07,Groww_LargeCap,1,0.7306811,2
2019-06-10,Groww_LargeCap,1,0.7120158,2
2019-06-11,Groww_LargeCap,1,0.7112887,2
2019-06-12,Groww_LargeCap,1,0.75563204,2
2019-06-13,Groww_LargeCap,1,0.7557096,2
2019-06-14,Groww_LargeCap,0,0.6743552,2
2019-06-17,Groww_LargeCap,0,0.61954314,2
2019-06-18,Groww_LargeCap,0,0.7029864,2
2019-06-19,Groww_LargeCap,1,0.6801558,2
2019-06-20,Groww_LargeCap,1,0.75570846,2
2019-06-21,Groww_LargeCap,1,0.65247333,2
2019-06-24,Groww_LargeCap,0,0.6753133,2
2019-06-25,Groww_LargeCap,0,0.59929794,2
2019-06-26,Groww_LargeCap,1,0.59256774,2
2019-06-27,Groww_LargeCap,0,0.54870945,2
2019-06-28,Groww_LargeCap,0,0.5845099,2
2019-07-01,Groww_LargeCap,0,0.5463346,2
2019-07-02,Groww_LargeCap,0,0.58099455,2
2019-07-03,Groww_LargeCap,0,0.55234045,2
2019-07-04,Groww_LargeCap,1,0.66003907,2
2019-07-05,Groww_LargeCap,1,0.7648989,2
2019-07-08,Groww_LargeCap,0,0.62430274,2
2019-07-09,Groww_LargeCap,1,0.68577063,2
2019-07-10,Groww_LargeCap,1,0.6585252,2
2019-07-11,Groww_LargeCap,1,0.6437373,2
2019-07-12,Groww_LargeCap,1,0.71689147,2
2019-07-15,Groww_LargeCap,1,0.72766185,2
2019-07-16,Groww_LargeCap,1,0.7843703,2
2019-07-17,Groww_LargeCap,1,0.80703336,2
2019-07-18,Groww_LargeCap,1,0.7722468,2
2019-07-19,Groww_LargeCap,1,0.6327436,2
