date,fund_id,y_true,lgb,fold
2019-05-22,SBI_LargeCap,0,0.23439360963529213,5
2019-05-23,SBI_LargeCap,0,0.30597617216688505,5
2019-05-24,SBI_LargeCap,1,0.5375336520927466,5
2019-05-27,SBI_LargeCap,1,0.597144227385969,5
2019-05-28,SBI_LargeCap,1,0.585319217530244,5
2019-05-29,SBI_LargeCap,0,0.4865740932597373,5
2019-05-30,SBI_LargeCap,0,0.45465516599710326,5
2019-05-31,SBI_LargeCap,0,0.24404435835900798,5
2019-06-03,SBI_LargeCap,1,0.299115829233908,5
2019-06-04,SBI_LargeCap,0,0.3410701051674633,5
2019-06-06,SBI_LargeCap,1,0.5529245378247225,5
2019-06-07,SBI_LargeCap,1,0.702463406976859,5
2019-06-10,SBI_LargeCap,1,0.7352078041241882,5
2019-06-11,SBI_LargeCap,1,0.7037022246242549,5
2019-06-12,SBI_LargeCap,1,0.7652941029436549,5
2019-06-13,SBI_LargeCap,1,0.7434596918378882,5
2019-06-14,SBI_LargeCap,0,0.47148505224356435,5
2019-06-17,SBI_LargeCap,0,0.576476313042458,5
2019-06-18,SBI_LargeCap,0,0.6726842365493473,5
2019-06-19,SBI_LargeCap,1,0.6682727497540034,5
2019-06-20,SBI_LargeCap,1,0.7592984141508665,5
2019-06-21,SBI_LargeCap,1,0.7363507607169678,5
2019-06-24,SBI_LargeCap,0,0.6963598418219796,5
2019-06-25,SBI_LargeCap,1,0.7053050482465638,5
2019-06-26,SBI_LargeCap,1,0.6571876436535377,5
2019-06-27,SBI_LargeCap,1,0.5462653756262836,5
2019-06-28,SBI_LargeCap,0,0.5606289862227007,5
2019-07-01,SBI_LargeCap,0,0.5009252059816433,5
2019-07-02,SBI_LargeCap,0,0.6034802835904379,5
2019-07-03,SBI_LargeCap,0,0.5875409346187658,5
2019-07-04,SBI_LargeCap,1,0.6772297340273792,5
2019-07-05,SBI_LargeCap,1,0.8513977798357014,5
2019-07-08,SBI_LargeCap,1,0.7346579708571315,5
2019-07-09,SBI_LargeCap,1,0.646951653270031,5
2019-07-10,SBI_LargeCap,1,0.7631126003531619,5
2019-07-11,SBI_LargeCap,1,0.7454662743877914,5
2019-07-12,SBI_LargeCap,1,0.731538388332112,5
2019-07-15,SBI_LargeCap,1,0.7907007631698247,5
2019-07-16,SBI_LargeCap,1,0.8110903730850239,5
2019-07-17,SBI_LargeCap,1,0.7833762197444535,5
2019-07-18,SBI_LargeCap,1,0.7932408111340948,5
2019-07-19,SBI_LargeCap,1,0.6987615871759917,5
2019-07-22,SBI_LargeCap,1,0.7593059157965227,5
2019-07-23,SBI_LargeCap,1,0.7726670434600099,5
2019-07-24,SBI_LargeCap,1,0.7554928819664197,5
2019-07-25,SBI_LargeCap,1,0.6577014837084473,5
2019-07-26,SBI_LargeCap,1,0.7538285769297918,5
2019-07-29,SBI_LargeCap,1,0.7024941223281125,5
