date,fund_id,y_true,logit,fold
2018-11-26,Groww_LargeCap,0,0.4506419734189239,2
2018-11-27,Groww_LargeCap,0,0.4416900815163419,2
2018-11-28,Groww_LargeCap,0,0.4750604170329066,2
2018-11-29,Groww_LargeCap,0,0.48786303753430416,2
2018-11-30,Groww_LargeCap,0,0.4875554368421759,2
2018-12-03,Groww_LargeCap,0,0.5131369383708081,2
2018-12-04,Groww_LargeCap,0,0.5339259331164892,2
2018-12-05,Groww_LargeCap,0,0.5712763056768622,2
2018-12-06,Groww_LargeCap,0,0.5286511666424997,2
2018-12-07,Groww_LargeCap,0,0.5221979034314386,2
2018-12-10,Groww_LargeCap,0,0.4863210566678479,2
2018-12-11,Groww_LargeCap,0,0.5283932480063342,2
2018-12-12,Groww_LargeCap,0,0.5804048370015449,2
2018-12-13,Groww_LargeCap,0,0.5383610743517513,2
2018-12-14,Groww_LargeCap,0,0.534331521787364,2
2018-12-17,Groww_LargeCap,0,0.5310977066249153,2
2018-12-18,Groww_LargeCap,0,0.5150364964047657,2
2018-12-19,Groww_LargeCap,0,0.4848183791149143,2
2018-12-20,Groww_LargeCap,0,0.5394434671181071,2
2018-12-21,Groww_LargeCap,0,0.503050285155311,2
2018-12-24,Groww_LargeCap,0,0.5089605961601321,2
2018-12-26,Groww_LargeCap,0,0.4623140889884351,2
2018-12-27,Groww_LargeCap,0,0.47328132108764326,2
2018-12-28,Groww_LargeCap,1,0.4443476303897669,2
2018-12-31,Groww_LargeCap,1,0.45947452513194803,2
2019-01-01,Groww_LargeCap,0,0.4399068712645822,2
2019-01-02,Groww_LargeCap,0,0.43708125103740236,2
2019-01-03,Groww_LargeCap,0,0.3826196113405349,2
2019-01-04,Groww_LargeCap,0,0.3885080971167602,2
2019-01-07,Groww_LargeCap,0,0.40790150010086995,2
2019-01-08,Groww_LargeCap,1,0.4688809260540931,2
2019-01-09,Groww_LargeCap,0,0.49752741633422426,2
