date,fund_id,y_true,xgb,fold
2019-01-04,SBI_LargeCap,0,0.26539648,5
2019-01-07,SBI_LargeCap,0,0.3485707,5
2019-01-08,SBI_LargeCap,0,0.4256918,5
2019-01-09,SBI_LargeCap,0,0.28411523,5
2019-01-10,SBI_LargeCap,0,0.3215717,5
2019-01-11,SBI_LargeCap,0,0.24546416,5
2019-01-14,SBI_LargeCap,0,0.2982832,5
2019-01-15,SBI_LargeCap,1,0.37772822,5
2019-01-16,SBI_LargeCap,0,0.36289293,5
2019-01-17,SBI_LargeCap,0,0.3916574,5
2019-01-18,SBI_LargeCap,0,0.55980146,5
2019-01-21,SBI_LargeCap,1,0.6347381,5
2019-01-22,SBI_LargeCap,0,0.6671725,5
2019-01-23,SBI_LargeCap,1,0.73610765,5
2019-01-24,SBI_LargeCap,1,0.6574448,5
2019-01-25,SBI_LargeCap,1,0.63806,5
2019-01-28,SBI_LargeCap,1,0.65384173,5
2019-01-29,SBI_LargeCap,1,0.6276327,5
2019-01-30,SBI_LargeCap,1,0.6366514,5
2019-01-31,SBI_LargeCap,1,0.67824024,5
2019-02-01,SBI_LargeCap,1,0.7100905,5
2019-02-04,SBI_LargeCap,1,0.71629536,5
2019-02-05,SBI_LargeCap,1,0.6438988,5
2019-02-06,SBI_LargeCap,1,0.72069037,5
2019-02-07,SBI_LargeCap,1,0.76544946,5
2019-02-08,SBI_LargeCap,1,0.70203924,5
2019-02-11,SBI_LargeCap,1,0.7757255,5
2019-02-12,SBI_LargeCap,1,0.7697376,5
2019-02-13,SBI_LargeCap,1,0.7517989,5
2019-02-14,SBI_LargeCap,1,0.8041394,5
2019-02-15,SBI_LargeCap,1,0.77890664,5
2019-02-18,SBI_LargeCap,1,0.77936035,5
2019-02-19,SBI_LargeCap,1,0.7702213,5
2019-02-20,SBI_LargeCap,1,0.7653134,5
2019-02-21,SBI_LargeCap,1,0.7852135,5
2019-02-22,SBI_LargeCap,1,0.7713104,5
2019-02-25,SBI_LargeCap,1,0.7804598,5
2019-02-26,SBI_LargeCap,1,0.752743,5
2019-02-27,SBI_LargeCap,1,0.694457,5
2019-02-28,SBI_LargeCap,1,0.6681228,5
2019-03-01,SBI_LargeCap,1,0.5935832,5
2019-03-05,SBI_LargeCap,1,0.6395614,5
2019-03-06,SBI_LargeCap,1,0.59436184,5
2019-03-07,SBI_LargeCap,1,0.5676702,5
2019-03-08,SBI_LargeCap,1,0.5267553,5
2019-03-11,SBI_LargeCap,1,0.39488477,5
2019-03-12,SBI_LargeCap,1,0.3218947,5
2019-03-13,SBI_LargeCap,1,0.58804494,5
2019-03-14,SBI_LargeCap,1,0.60450804,5
2019-03-15,SBI_LargeCap,1,0.5872645,5
2019-03-18,SBI_LargeCap,1,0.6753455,5
2019-03-19,SBI_LargeCap,1,0.55806875,5
2019-03-20,SBI_LargeCap,1,0.6451816,5
2019-03-22,SBI_LargeCap,1,0.75196296,5
2019-03-25,SBI_LargeCap,1,0.76010716,5
2019-03-26,SBI_LargeCap,1,0.6997086,5
2019-03-27,SBI_LargeCap,1,0.739897,5
2019-03-28,SBI_LargeCap,1,0.7045635,5
2019-03-29,SBI_LargeCap,1,0.79369545,5
2019-04-01,SBI_LargeCap,1,0.818898,5
2019-04-02,SBI_LargeCap,1,0.80689913,5
2019-04-03,SBI_LargeCap,1,0.76192087,5
2019-04-04,SBI_LargeCap,1,0.76210105,5
2019-04-05,SBI_LargeCap,1,0.78134507,5
2019-04-08,SBI_LargeCap,1,0.8350047,5
2019-04-09,SBI_LargeCap,1,0.851596,5
2019-04-10,SBI_LargeCap,1,0.83956015,5
2019-04-11,SBI_LargeCap,1,0.80578023,5
2019-04-12,SBI_LargeCap,1,0.82527804,5
2019-04-15,SBI_LargeCap,1,0.712907,5
2019-04-16,SBI_LargeCap,1,0.77501684,5
2019-04-18,SBI_LargeCap,1,0.75595313,5
2019-04-22,SBI_LargeCap,1,0.74845874,5
2019-04-23,SBI_LargeCap,1,0.75993276,5
2019-04-24,SBI_LargeCap,1,0.7146302,5
2019-04-25,SBI_LargeCap,1,0.747406,5
2019-04-26,SBI_LargeCap,1,0.6528209,5
2019-04-30,SBI_LargeCap,1,0.6347127,5
2019-05-02,SBI_LargeCap,1,0.583309,5
2019-05-03,SBI_LargeCap,1,0.54648346,5
2019-05-06,SBI_LargeCap,1,0.5502153,5
2019-05-07,SBI_LargeCap,0,0.633146,5
2019-05-08,SBI_LargeCap,1,0.6372923,5
2019-05-09,SBI_LargeCap,1,0.56774014,5
2019-05-10,SBI_LargeCap,1,0.5883618,5
2019-05-13,SBI_LargeCap,1,0.6378141,5
2019-05-14,SBI_LargeCap,1,0.66472083,5
2019-05-15,SBI_LargeCap,1,0.5393388,5
2019-05-16,SBI_LargeCap,1,0.47948647,5
2019-05-17,SBI_LargeCap,1,0.6091056,5
2019-05-20,SBI_LargeCap,1,0.5792803,5
2019-05-21,SBI_LargeCap,0,0.61934984,5
2019-05-22,SBI_LargeCap,0,0.4806672,5
2019-05-23,SBI_LargeCap,0,0.4543323,5
2019-05-24,SBI_LargeCap,1,0.57595396,5
2019-05-27,SBI_LargeCap,1,0.6283016,5
2019-05-28,SBI_LargeCap,1,0.60338247,5
2019-05-29,SBI_LargeCap,0,0.6199982,5
2019-05-30,SBI_LargeCap,0,0.61056256,5
2019-05-31,SBI_LargeCap,0,0.44735157,5
2019-06-03,SBI_LargeCap,1,0.51019937,5
2019-06-04,SBI_LargeCap,0,0.53061646,5
2019-06-06,SBI_LargeCap,1,0.75198555,5
2019-06-07,SBI_LargeCap,1,0.8365231,5
2019-06-10,SBI_LargeCap,1,0.81925905,5
2019-06-11,SBI_LargeCap,1,0.8230068,5
2019-06-12,SBI_LargeCap,1,0.8506945,5
2019-06-13,SBI_LargeCap,1,0.82746756,5
2019-06-14,SBI_LargeCap,0,0.7782599,5
2019-06-17,SBI_LargeCap,0,0.75938,5
