date,fund_id,pred_med,pred_lo_p10,pred_hi_p90,policy
2024-12-24,ABSL_LargeCap,-0.004140936898361087,-0.008019674735034739,0.0002363751123079067,Hold
2024-12-24,Axis_LargeCap,0.0038161831627723875,-0.010151156049063387,0.008906299011270368,Hold
2024-12-24,Bandhan_LargeCap,-0.01216671839962032,-0.01859279420440621,0.00361332047523549,Hold
2024-12-24,CanaraRobeco_LargeCap,-0.0007986293595754054,-0.008854652440235996,0.0021606166586430778,Hold
2024-12-24,DSP_LargeCap,0.012265051568938817,-0.005156773215033183,0.024738890320776634,Hold
2024-12-24,Edelweiss_LargeCap,0.00011535466761987682,-0.008797351668120743,0.0050027385399823085,Hold
2024-12-24,Franklin_LargeCap,-0.008667722049382825,-0.013486367783007656,0.01061925488686016,Hold
2024-12-24,Groww_LargeCap,-0.009777936277514741,-0.023812292618661548,0.007296777276983802,Hold
2024-12-24,HDFC_LargeCap,0.007268564476122847,-0.003120572799007976,0.009984001937013307,Hold
2024-12-24,HSBC_LargeCap,-0.03091190622276606,-0.044762168467466244,0.004084489043808384,Hold
2024-12-24,ICICI_LargeCap,0.0037807852168769453,-0.006892767007327627,0.010960485538677083,Hold
2024-12-24,Invesco_LargeCap,-0.026274679833873507,-0.037208127604751756,0.011618622601576565,Hold
2024-12-24,JM_LargeCap,-0.025651389525660265,-0.04928548714587244,-0.000790100108157932,Sell
2024-12-24,KotakMahindra_LargeCap,-0.010073895005667133,-0.0099513224490965,-0.001278443997478476,Sell
2024-12-24,LIC_LargeCap,-0.021510449928449117,-0.03153076487565524,0.002291222398759207,Hold
2024-12-24,MiraeAsset_LargeCap,-0.003196245600852731,-0.00969155277633097,0.0012113081163377033,Hold
2024-12-24,NipponIndia_LargeCap,-0.010087943695367634,-0.012619235665248947,0.0006021039294219821,Hold
2024-12-24,PGIM_LargeCap,-0.0015036868550169394,-0.00442797828889776,0.005884216416417708,Hold
2024-12-24,SBI_LargeCap,0.0003603536451718951,-0.014659010233352438,0.003629103020479473,Hold
2024-12-24,Tata_LargeCap,-0.004406595502790346,-0.016703645727741082,0.0015244411170579,Hold
2024-12-24,Taurus_LargeCap,-0.027173773738800984,-0.033485846853256736,0.0014902840666952087,Hold
2024-12-24,UTI_LargeCap,0.0038250884602527655,-0.010644938626389471,0.01072143376513464,Hold
