fund_id,date,score,excess_63d,excess_21d,sharpe_126d,vol_126d,mdd_252d
JM_LargeCap,2025-03-26,0.9818181818181817,-0.04932484145397087,-0.010033133957898288,-0.151793531442436,0.14408639257305944,-0.19798090215702602
HSBC_LargeCap,2025-03-26,0.9272727272727274,-0.04353595792793585,-0.014566944657071756,-0.13521728913188846,0.14148751901230772,-0.17717679069465642
Taurus_LargeCap,2025-03-26,0.6909090909090909,-0.028016035588743993,0.0009862015061137264,-0.11764427931907727,0.1426150405371879,-0.17623998636441107
Groww_LargeCap,2025-03-26,0.6909090909090909,-0.023030412538420753,0.004517816067951097,-0.14380882452359145,0.1404711605767318,-0.1901161718605937
Invesco_LargeCap,2025-03-26,0.6727272727272726,-0.03767059263152461,0.0033667729077506703,-0.12849999262759756,0.1451519959327688,-0.18212616822429895
Franklin_LargeCap,2025-03-26,0.6636363636363636,-0.010827123934458172,-0.005343084239147311,-0.1290551616754388,0.12921817259748583,-0.16251084924662063
Bandhan_LargeCap,2025-03-26,0.6181818181818182,-0.018973693578389295,0.005572418140389557,-0.14131928066775729,0.1361244279480812,-0.17950219619326502
LIC_LargeCap,2025-03-26,0.5909090909090908,-0.022402451225123188,0.0014211929350644859,-0.11531952743521401,0.15019162881792422,-0.18239205201379316
NipponIndia_LargeCap,2025-03-26,0.5545454545454546,-0.012606510033864704,0.00046779893798709615,-0.10491463145942757,0.13371371285592337,-0.15368025852407985
ABSL_LargeCap,2025-03-26,0.5454545454545454,-0.004206221261880083,0.0012148079722451577,-0.13030111711551529,0.12739913563337207,-0.16679328796987514
KotakMahindra_LargeCap,2025-03-26,0.5090909090909091,-0.009748324484155302,0.0016748633597700735,-0.12072039181041079,0.12934144337766793,-0.16524883310066452
UTI_LargeCap,2025-03-26,0.5,0.003731761751066376,-0.020162363747313394,-0.14574211225671718,0.12046956691035196,-0.15615102968737027
PGIM_LargeCap,2025-03-26,0.4909090909090909,-0.0012842127008694249,0.002424605740020569,-0.13100521733819456,0.13058130804096524,-0.16972760060744108
Axis_LargeCap,2025-03-26,0.47272727272727266,0.00320768010108452,-0.0017228265628432826,-0.13323790594453716,0.12383152863692162,-0.15504511894995898
MiraeAsset_LargeCap,2025-03-26,0.4636363636363637,-0.000767838050180436,-0.0013235577070946913,-0.11788032237359251,0.13138121226224578,-0.15854561554844782
CanaraRobeco_LargeCap,2025-03-26,0.41818181818181815,-0.000925874247999614,0.0008897997856760487,-0.10881191452885793,0.12718926730196473,-0.14832663989290507
Edelweiss_LargeCap,2025-03-26,0.4,0.0007692325631651897,0.0019421134072992174,-0.12977105872636874,0.1286924460272296,-0.17094521491098646
HDFC_LargeCap,2025-03-26,0.390909090909091,0.008102440489665463,-0.0034948298554509094,-0.13283320703846993,0.1271203002438185,-0.16364563899031104
Tata_LargeCap,2025-03-26,0.36363636363636365,0.00155550510027902,0.0003243721601582372,-0.11429892199847061,0.13502022300880062,-0.1588565332687566
SBI_LargeCap,2025-03-26,0.26363636363636367,0.003665200663824919,0.0033507182343004427,-0.12712816465732932,0.12140983326095647,-0.15439693968120738
ICICI_LargeCap,2025-03-26,0.20909090909090908,0.010972000272257754,0.0011213689098970026,-0.11576112305141043,0.12110416523664749,-0.15393258426966283
DSP_LargeCap,2025-03-26,0.08181818181818182,0.02256806244274623,0.0025745066819096163,-0.0947360921216875,0.12082031654439035,-0.13232727334749628
