date,fund_id,y_true,y_hat_p50,y_hat_naive,fold
2019-01-04,SBI_LargeCap,-0.0015415447891162781,-0.005932517079214723,0.019675581685808297,5
2019-01-07,SBI_LargeCap,-0.012206292636548266,-0.006637465657845312,0.017908635845191312,5
2019-01-08,SBI_LargeCap,-0.0016805422686809735,-0.004450468582263804,0.014663947823501333,5
2019-01-09,SBI_LargeCap,-0.015549655902976856,-0.009419581631592667,0.017504843745697274,5
2019-01-10,SBI_LargeCap,-0.008852824923486047,-0.008345929543335698,0.02550416874300132,5
2019-01-11,SBI_LargeCap,-0.005735153983972507,-0.008418142970807299,0.02536105416629364,5
2019-01-14,SBI_LargeCap,-0.006837496353569117,-0.00670760021817242,0.022110879712648135,5
2019-01-15,SBI_LargeCap,0.0028651555142948926,-0.0030301288450417965,0.017601224910761548,5
2019-01-16,SBI_LargeCap,-0.009235293218529783,-0.0091502410325237,0.014828800403346776,5
2019-01-17,SBI_LargeCap,-0.020812936978288787,-0.00662018742251966,0.015419302234721766,5
2019-01-18,SBI_LargeCap,-0.0037806408149059223,-0.002452240974532912,0.011042180382284439,5
2019-01-21,SBI_LargeCap,0.011909639794713822,0.0016845439755586605,0.007182100133063862,5
2019-01-22,SBI_LargeCap,-0.003242630140265712,0.0036428601367377504,0.0010468712480102838,5
2019-01-23,SBI_LargeCap,0.014649058831458284,0.004488475719745107,-0.003036224921966202,5
2019-01-24,SBI_LargeCap,0.008384549525152662,0.004721797981260524,-0.004611878795932389,5
2019-01-25,SBI_LargeCap,0.005011187639261339,0.0015789292981657403,-0.006596249787416353,5
2019-01-28,SBI_LargeCap,0.008090466959461029,0.002359916069116999,-0.007311805696561535,5
2019-01-29,SBI_LargeCap,0.0005363508829825392,0.0008101137103629702,-0.010914098768252556,5
2019-01-30,SBI_LargeCap,0.0009205958418394555,-0.0008460850233655431,-0.006183450653774791,5
2019-01-31,SBI_LargeCap,0.0038826048075675246,4.5604552982824e-06,-0.012442880197124806,5
2019-02-01,SBI_LargeCap,0.0118203324986772,0.0016879396564115062,-0.013591095302032619,5
2019-02-04,SBI_LargeCap,0.01795407073898292,0.00504837751622476,-0.021202778934731548,5
2019-02-05,SBI_LargeCap,0.00546174688925638,0.003911887110204546,-0.02220249243358885,5
2019-02-06,SBI_LargeCap,0.02494780437528643,0.008381946576425433,-0.025299658588775475,5
2019-02-07,SBI_LargeCap,0.016215674395959168,0.0016269301437403152,-0.021351217365213948,5
2019-02-08,SBI_LargeCap,0.027685830531346767,0.00047423917975700507,-0.02456698054721418,5
2019-02-11,SBI_LargeCap,0.036243685156033045,0.004672189930105275,-0.025719002875407293,5
2019-02-12,SBI_LargeCap,0.06439273531346457,0.005619340593000591,-0.024682642025917967,5
2019-02-13,SBI_LargeCap,0.01872713374863233,0.002187854920606571,-0.027502709219071497,5
2019-02-14,SBI_LargeCap,0.030414866273044572,0.004873914689810323,-0.023472504284827278,5
2019-02-15,SBI_LargeCap,0.027300076044855404,0.004091950839176242,-0.024600231262570937,5
2019-02-18,SBI_LargeCap,0.05745887586546439,0.004690882544536212,-0.022318587626751873,5
2019-02-19,SBI_LargeCap,0.04923166194238915,0.006426093004012441,-0.020858866013474642,5
2019-02-20,SBI_LargeCap,0.04188710361942727,0.005961448755990189,-0.02607971115511032,5
2019-02-21,SBI_LargeCap,0.03192366504491906,0.005656947699986753,-0.026807384678880997,5
2019-02-22,SBI_LargeCap,0.04340932378992224,0.006563057863712875,-0.0233698493550355,5
2019-02-25,SBI_LargeCap,0.033501420023393624,0.004128059792904326,-0.020361647248293924,5
2019-02-26,SBI_LargeCap,0.044561407668837205,0.004954413902316495,-0.015239793345852681,5
2019-02-27,SBI_LargeCap,0.021530768551811796,0.0009295229112539818,-0.011480497401216372,5
2019-02-28,SBI_LargeCap,0.007667539494769171,-0.00017049620437617504,-0.009303708612810047,5
2019-03-01,SBI_LargeCap,0.011716412935975695,-0.003896703607545907,-0.0054773769599592015,5
2019-03-05,SBI_LargeCap,0.027943161825817242,0.0005516472125698635,-0.002046588504593494,5
2019-03-06,SBI_LargeCap,0.028893784462897143,-0.0011832936799359504,0.0015130630992636895,5
2019-03-07,SBI_LargeCap,0.01749362592791437,-0.00011294113829410165,-0.0006308580091485272,5
2019-03-08,SBI_LargeCap,0.016164126396518208,-0.002168472971070812,0.001908866878454818,5
2019-03-11,SBI_LargeCap,0.012572861448287176,-0.003528875960515566,0.0005951217544590826,5
2019-03-12,SBI_LargeCap,0.002223993232962851,-0.009197837496504525,-0.001460907491090735,5
2019-03-13,SBI_LargeCap,0.014527038512887502,-0.0008838635336589913,-0.004373615054980906,5
2019-03-14,SBI_LargeCap,0.025773763012105544,0.0069492729989973296,-0.006611803044238362,5
2019-03-15,SBI_LargeCap,0.03415102300472328,0.007764483855974647,-0.0038106869569853874,5
2019-03-18,SBI_LargeCap,0.029084639305406945,0.009145251598643982,-0.003808627679434684,5
2019-03-19,SBI_LargeCap,0.01752174762267389,-0.0009021304231456274,-0.005620690698013631,5
2019-03-20,SBI_LargeCap,0.034436221355808705,0.006761024400325669,-0.007029808025094786,5
2019-03-22,SBI_LargeCap,0.03941678151801287,0.007805912387827254,-0.009403379584577376,5
2019-03-25,SBI_LargeCap,0.0329665273236881,0.0057171427825711595,-0.010411385655434646,5
2019-03-26,SBI_LargeCap,0.027323573441422555,0.006734953224203341,-0.011598531510899734,5
2019-03-27,SBI_LargeCap,0.029282877133544716,0.006620477645458668,-0.0068276111843501575,5
