date,fund_id,y_true,xgb,fold
2021-10-11,LIC_LargeCap,1,0.77273506,4
2021-10-12,LIC_LargeCap,1,0.7841621,4
2021-10-13,LIC_LargeCap,1,0.8474712,4
2021-10-14,LIC_LargeCap,1,0.85076165,4
2021-10-18,LIC_LargeCap,1,0.88224113,4
2021-10-19,LIC_LargeCap,1,0.86772436,4
2021-10-20,LIC_LargeCap,1,0.8052297,4
2021-10-21,LIC_LargeCap,1,0.8301462,4
2021-10-22,LIC_LargeCap,1,0.7651419,4
2021-10-25,LIC_LargeCap,1,0.7577237,4
2021-10-26,LIC_LargeCap,1,0.69819146,4
2021-10-27,LIC_LargeCap,0,0.70715755,4
2021-10-28,LIC_LargeCap,0,0.60418,4
2021-10-29,LIC_LargeCap,0,0.5176015,4
2021-11-01,LIC_LargeCap,0,0.5835879,4
2021-11-02,LIC_LargeCap,0,0.62548316,4
2021-11-03,LIC_LargeCap,0,0.655515,4
2021-11-08,LIC_LargeCap,0,0.6256649,4
2021-11-09,LIC_LargeCap,0,0.60948795,4
2021-11-10,LIC_LargeCap,0,0.5787508,4
2021-11-11,LIC_LargeCap,0,0.5963939,4
2021-11-12,LIC_LargeCap,0,0.6762802,4
2021-11-15,LIC_LargeCap,0,0.5797696,4
2021-11-16,LIC_LargeCap,0,0.4951142,4
2021-11-17,LIC_LargeCap,0,0.42144403,4
2021-11-18,LIC_LargeCap,0,0.37905088,4
2021-11-22,LIC_LargeCap,0,0.34686404,4
2021-11-23,LIC_LargeCap,0,0.3500753,4
2021-11-24,LIC_LargeCap,1,0.30532208,4
2021-11-25,LIC_LargeCap,1,0.37704903,4
2021-11-26,LIC_LargeCap,1,0.3025092,4
2021-11-29,LIC_LargeCap,1,0.3228654,4
2021-11-30,LIC_LargeCap,0,0.34351587,4
2021-12-01,LIC_LargeCap,1,0.2518628,4
2021-12-02,LIC_LargeCap,0,0.28115523,4
2021-12-03,LIC_LargeCap,0,0.23215765,4
2021-12-06,LIC_LargeCap,0,0.20810509,4
