date,usd_inr
2016-02-04,67.92700195
2016-02-05,67.56400299
2016-02-08,67.80200195
2016-02-09,68.0759964
2016-02-10,67.9280014
2016-02-11,67.89299774
2016-02-12,68.47399902
2016-02-15,68.11100006
2016-02-16,68.13700104
2016-02-17,68.5059967
2016-02-18,68.35600281
2016-02-19,68.56600189
2016-02-22,68.53800201
2016-02-23,68.5739975
2016-02-24,68.60299683
2016-02-25,68.37599945
2016-02-26,68.79699707
2016-02-29,68.73000336
2016-03-01,68.21800232
2016-03-02,67.7460022
2016-03-03,67.38800049
2016-03-04,67.14299774
2016-03-07,66.93000031
2016-03-08,67.04599762
2016-03-09,67.35700226
2016-03-10,67.14499664
2016-03-11,67.30899811
2016-03-14,66.91300201
2016-03-15,67.1740036
2016-03-16,67.35900116
2016-03-17,66.83000183
2016-03-18,66.61199951
2016-03-21,66.37599945
2016-03-22,66.51999664
2016-03-23,66.76399994
2016-03-24,66.90200043
2016-03-25,66.90699768
2016-03-30,66.36799622
2016-04-01,66.2480011
2016-04-04,66.35800171
2016-04-05,66.13300323
2016-04-06,66.46800232
2016-04-07,66.53299713
2016-04-08,66.77899933
2016-04-11,66.54399872
2016-04-12,66.29000092
2016-04-13,66.31500244
2016-04-14,66.52500153
2016-04-15,66.63700104
2016-04-18,66.65299988
2016-04-19,66.40899658
2016-04-20,66.22200012
2016-04-21,66.20400238
2016-04-22,66.51200104
2016-04-25,66.65299988
2016-04-26,66.70500183
2016-04-27,66.45700073
2016-04-28,66.35500336
2016-04-29,66.43800354
2016-05-02,66.41799927
2016-05-03,66.3710022
2016-05-04,66.59200287
2016-05-05,66.62000275
2016-05-06,66.60199738
2016-05-09,66.59400177
2016-05-10,66.72100067
2016-05-11,66.66600037
2016-05-12,66.59100342
2016-05-13,66.75099945
2016-05-16,66.90000153
2016-05-17,66.875
2016-05-18,66.86799622
2016-05-19,67.16000366
2016-05-20,67.47699738
2016-05-23,67.42299652
2016-05-24,67.44799805
2016-05-25,67.65100098
2016-05-26,67.30400085
2016-05-27,66.95400238
2016-05-30,67.02400208
2016-05-31,67.13300323
2016-06-01,67.23100281
2016-06-02,67.4260025
2016-06-03,67.29199982
2016-06-06,66.99199677
2016-06-07,66.8010025
2016-06-08,66.76300049
2016-06-09,66.51000214
2016-06-10,66.74099731
2016-06-13,66.94499969
2016-06-14,67.15399933
2016-06-15,67.29799652
2016-06-16,67.07299805
2016-06-17,67.30699921
2016-06-20,67.06600189
2016-06-21,67.12999725
2016-06-22,67.60600281
2016-06-23,67.42199707
2016-06-24,67.24199677
2016-06-27,67.8769989
2016-06-28,67.92099762
2016-06-29,67.70500183
2016-06-30,67.41600037
2016-07-01,67.50099945
2016-07-04,67.18199921
2016-07-05,67.23699951
2016-07-06,67.4260025
2016-07-07,67.40100098
2016-07-08,67.49700165
2016-07-11,67.13200378
2016-07-12,67.14499664
2016-07-13,66.87000275
2016-07-14,67.0059967
2016-07-15,66.83799744
2016-07-18,67.13300323
2016-07-19,67.13899994
2016-07-20,67.20600128
2016-07-21,67.16400146
2016-07-22,67.15399933
2016-07-25,67.14600372
2016-07-26,67.40499878
2016-07-27,67.28399658
2016-07-28,67.06300354
2016-07-29,67.00700378
2016-08-01,66.64800262
2016-08-02,66.75099945
2016-08-03,66.6760025
2016-08-04,66.76000214
2016-08-05,66.84100342
2016-08-08,66.83499908
2016-08-09,66.79399872
2016-08-10,66.78299713
2016-08-11,66.75800323
2016-08-12,66.73999786
2016-08-15,66.89959717
2016-08-16,66.86489868
2016-08-17,66.85769653
2016-08-18,66.90550232
2016-08-19,66.81999969
2016-08-22,67.12750244
2016-08-23,67.18740082
2016-08-24,67.12999725
2016-08-25,67.16000366
2016-08-26,67.00559998
2016-08-29,67.1289978
2016-08-30,67.08999634
2016-08-31,67.12660217
2016-09-01,66.97470093
2016-09-02,66.79299927
2016-09-05,66.57279968
2016-09-06,66.45999908
2016-09-07,66.25520325
2016-09-08,66.47160339
2016-09-09,66.44999695
2016-09-12,66.77799988
2016-09-13,66.72299957
2016-09-14,66.99500275
2016-09-15,66.75810242
2016-09-16,66.85030365
2016-09-19,67.06529999
2016-09-20,66.9552002
2016-09-21,66.97499847
2016-09-22,66.76119995
2016-09-23,66.62259674
2016-09-26,66.69650269
2016-09-27,66.60649872
2016-09-28,66.44129944
2016-09-29,66.33280182
2016-09-30,66.81629944
